tconst	averageRating	numVotes
tt0000778	7	16
tt0000779	6.5	20
tt0000781	6.2	21
tt0000782	8	25
tt0000783	4	14
tt0000784	4.3	32
tt0000785	5.4	77
tt0000787	5.6	23
tt0000789	5.2	82
tt0000790	6.1	465
tt0000792	4.8	70
tt0000793	4.1	22
tt0000797	5.3	190
tt0000798	4.4	18
tt0000800	5.1	123
tt0000801	5.5	74
tt0000803	5.8	14
tt0000807	5.1	62
tt0000809	6.3	65
tt0000815	4.7	65
tt0000816	4.6	139
tt0000817	4.4	22
tt0000819	5.7	67
tt0000821	4.7	136
tt0000823	4.8	54
tt0000825	4.8	56
tt0000826	4.8	55
tt0000827	5.2	104
tt0000828	5.3	120
tt0000829	4.8	59
tt0000831	5.3	151
tt0000832	6.6	2844
tt0000833	6.4	812
tt0000835	4.7	173
tt0000836	4.7	58
tt0000837	5.9	44
tt0000840	5.6	379
tt0000841	5.3	86
tt0000843	6.1	42
tt0000844	5.9	27
tt0000845	5.3	43
tt0000847	5.6	17
tt0000848	5.5	24
tt0000851	5.6	46
tt0000852	5.5	285
tt0000853	6.1	41
tt0000854	5.9	591
tt0000855	5.8	50
tt0000857	5.1	38
tt0000858	5.6	38
tt0000860	4.7	87
tt0000861	5.5	59
tt0000862	4.4	18
tt0000864	6.2	60
tt0000866	5.7	9
tt0000870	5.8	59
tt0000871	5.6	128
tt0000873	5.8	12
tt0000874	5.5	52
tt0000875	4.8	37
tt0000877	4.7	115
tt0000878	5	192
tt0000880	5.7	93
tt0000882	5.6	244
tt0000883	6.8	11
tt0000884	3.5	12
tt0000886	4.5	40
tt0000887	5	54
tt0000890	7.4	33
tt0000891	5.6	68
tt0000892	5.6	102
tt0000893	6.3	44
tt0000895	5.4	224
tt0000897	5.3	75
tt0000898	6.1	27
tt0000900	5.2	24
tt0000901	5.8	25
tt0000902	5.8	17
tt0000904	5.2	125
tt0000905	6.2	24
tt0000907	7.2	24
tt0000908	6.7	32
tt0000910	5.7	27
tt0000911	3.6	26
tt0000912	4.4	73
tt0000916	6	70
tt0000919	4.8	24
tt0000920	5.8	24
tt0000921	6	26
tt0000922	4.9	127
tt0000924	6	203
tt0000928	5.3	106
tt0000929	5.2	49
tt0000930	4.6	14
tt0000932	3.2	10
tt0000933	5.1	98
tt0000934	4.7	21
tt0000935	5.8	119
tt0000936	6.2	132
tt0000938	4.6	202
tt0000939	5.8	20
tt0000941	4.6	29
tt0000942	6.2	1155
tt0000943	6	14
tt0000944	3.8	11
tt0000945	4.9	93
tt0000946	4.6	91
tt0000950	4.6	17
tt0000957	6.2	52
tt0000958	6.4	17
tt0000960	4.7	314
tt0000961	8.8	22
tt0000962	6	15
tt0000964	5.8	17
tt0000966	5.6	383
tt0000967	6	18
tt0000969	6.6	25
tt0000970	5.7	85
tt0000971	6.2	194
tt0000972	5.8	114
tt0000974	5.3	70
tt0000975	5.3	23
tt0000976	4.3	19
tt0000979	5.1	38
tt0000981	5.6	69
tt0000986	5.1	125
tt0000987	7.8	10
tt0000988	4.7	27
tt0000989	4.9	57
tt0000990	5.8	100
tt0000991	6.6	18
tt0000992	4.4	15
tt0000995	7.7	18
tt0000997	7.2	17
tt0000998	5.5	19
tt0001000	5.5	64
tt0001001	5.1	149
tt0001002	4.8	109
tt0001005	5.7	25
tt0001008	5.5	33
tt0001009	6.5	1069
tt0001010	4.2	16
tt0001013	5.8	434
tt0001014	4.8	130
tt0001015	5.3	26
tt0001016	5.1	169
tt0001020	5.8	14
tt0001025	8.7	17
tt0001027	6.7	17
tt0001028	3.8	23
tt0001029	5.1	60
tt0001032	6	996
tt0001033	5.1	22
tt0001035	5.1	44
tt0001036	2.6	13
tt0001037	3.4	18
tt0001038	3.1	22
tt0001041	5.3	52
tt0001044	5.1	122
tt0001045	5.6	15
tt0001049	4.2	19
tt0001050	4.9	90
tt0001052	6.4	17
tt0001053	7	16
tt0001054	5.7	41
tt0001058	5.5	27
tt0001061	6.6	85
tt0001062	6.2	1326
tt0001063	6.5	17
tt0001064	5.2	48
tt0001065	5.8	17
tt0001066	4.9	24
tt0001067	5.7	68
tt0001071	7.3	15
tt0001072	5.6	431
tt0001074	6.4	21
tt0001076	5.5	25
tt0001077	6.6	15
tt0001078	5.4	68
tt0001079	5.4	17
tt0001083	4.9	158
tt0001084	5.2	191
tt0001085	6.2	17
tt0001086	7	17
tt0001088	5	82
tt0001089	8.3	40
tt0001090	7.8	16
tt0001091	5.3	231
tt0001092	5.9	61
tt0001094	5.4	17
tt0001095	4	17
tt0001098	6.6	19
tt0001099	6.6	17
tt0001101	4.8	40
tt0001103	5.7	68
tt0001104	5.2	60
tt0001105	6.4	1071
tt0001106	5.9	187
tt0001107	6	116
tt0001111	4.3	19
tt0001112	3.9	52
tt0001113	4.8	18
tt0001115	3.9	20
tt0001116	4.2	19
tt0001117	5.9	17
tt0001118	5.4	220
tt0001120	5.5	259
tt0001121	4.7	57
tt0001122	4.9	20
tt0001129	5.1	69
